,factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after,score
108,transfers_from_miners_count,10m,transactions,144,0.0072077292836974,0.9400674864490955,0.0005294916167488,0.357175489808349,43.58758741373284,-0.840272602888708,812.2546666182081,0.000162697985891,0.0,False,False,44783,./data/image_multi_freq/transfers_from_miners_count_10m.png,0.0,0.1,True,none,True,0.9472752157327929
65,active_3m_6m,10m,supply,144,0.0045304998723801,0.8556754388806451,-0.0029014922340597,-7.152463910027604,1176.3289031265233,-6.023808229633606,288.4784969452681,0.0,0.0,False,False,44781,./data/image_multi_freq/active_3m_6m_10m.png,0.7758157657277968,0.01,False,diff2,True,0.8602059387530252
54,active_6m_12m,10m,supply,144,0.0037905067067253,0.851148456053559,0.0051054049791317,-2.3927531796191803,1033.563357309444,-2.5096297657962405,603.0158375754144,0.0,0.0,False,False,44781,./data/image_multi_freq/active_6m_12m_10m.png,0.873741492604774,0.01,False,diff2,True,0.8549389627602844
41,inflation_rate,1h,supply,24,0.6972929219212813,0.1112606166030534,-2.8418083489119924e-09,-4.212930330365017e-06,0.0003625529266486,-0.1300877245132437,4.126680337950265,0.0,1.163044130227219e-158,False,False,7463,./data/image_multi_freq/inflation_rate_1h.png,3.047896987596639e-17,0.1,True,none,True,0.8085535385243348
134,supply_balance_10k_100k,10m,addresses,144,0.0082994458786742,0.7813468947585932,-1.921692543948221e-05,2.048135773962481,549.2831015025066,-2.540550971155469,226.69080706543917,7.838881607497503e-20,0.0,False,False,44782,./data/image_multi_freq/supply_balance_10k_100k_10m.png,0.2573196224785734,0.01,False,diff1,True,0.7896463406372674
139,supply_balance_more_100k,10m,addresses,144,0.0279262373865667,0.751013838962458,5.660725044410076e-05,-0.2501123772439524,137.7294569565151,-51.015902893287866,5325.926572550531,0.0256355325896299,0.0,False,False,44782,./data/image_multi_freq/supply_balance_more_100k_10m.png,0.7154725126505643,0.01,False,diff1,True,0.7789400763490247
9,futures_liquidated_volume_short_mean,10m,derivatives,144,0.0023971495656734,0.7661669972633429,-4.2275375725165917e-07,-0.001513330508786,0.2446246681232939,-5.906302030773923,523.8833013865893,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_liquidated_volume_short_mean_10m.png,0.0,0.01,False,diff1,True,0.7685641468290163
45,revived_more_2y_sum,10m,supply,144,0.0034443667955914,0.7642184638835742,-0.0006400032164094,2.002828849600254,314.5904319058202,4.1349367638059,417.8100698826905,0.0,0.0,False,False,44782,./data/image_multi_freq/revived_more_2y_sum_10m.png,0.0,0.01,False,diff1,True,0.7676628306791655
95,transfers_volume_to_miners_sum,10m,transactions,144,0.0016760195820158,0.7617848443958853,5.299979176414789e-05,0.1102129712130847,22.011100310869857,5.997240613275511,507.766793805849,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_to_miners_sum_10m.png,0.0,0.015528873158367,False,diff1,True,0.7634608639779011
114,transfers_volume_miners_net,10m,transactions,144,0.0073847869430151,0.7249039242823268,5.391957383976821e-05,-1.4357820555917375,25.365056968124744,-22.411309032900213,2080.49533741749,2.1273875829023494e-08,0.0,False,False,44783,./data/image_multi_freq/transfers_volume_miners_net_10m.png,0.0,0.1,True,none,True,0.7322887112253419
